description,category,spec_pred
เดอะ วอลท์ ดิสนีย์ Licensee BL250319,Other Energy Related Products,brand -|calorific -|item -|model bl250319|moisturerange -|piece -|weight -
MKB-Install Hanging Signage for Bull ring,Sign Installation And Maintenance Service,item -
"โฟม 60x120cmx1.5""",Eva,
ตู้ 2QSU,Counters,
"HW-IDEAHUB-S2-65
HUAWEI IdeaHub S2,IHS2-65SA,Intelligent Collaboration Device 65-inch infrared screen,Jade white,overseas",Wireless Infrastructure Equipment,
"S&M - Stacker,S&M - STACKER",Stackers & Reclaimers,
ถ้วยรางวัล,"Trophies, Medals, & Plaques",
(MP) TILL CPU-POWER/DATA CABLE LOOMS,Home Textile Product Machine Parts,
MC-Control Core 5125 (New Numbe [408270],Other Watch Accessories,
(AT)Manpower cost for Hub & Spoke  on  January'25 charges HUB BANGNA 40010/05076,Warehouse Services,brand -|item -|period -
(AT)Manpower cost for Hub & Spoke  on December'24 charges HUB BANGNA 40010/05076,Warehouse Services,brand -|item -|period -
(AT)Manpower cost for Hub & Spoke  on  April'25 charges HUB BANGNA 40010/05076,Warehouse Services,brand -|item -|period -
ตู้ 2HLCUC,Counters,
Lighting for under Platform,Lighting Maintenance Services,item -
ค่าออกใบอนุญาตผลิตพลังงานควบคุม,Energy Projects,
งานเพิ่ม 23038 สาย 2 จอมเทียน ซ.14/(1),Shops,item -
งานเปลี่ยน Flexible Joint (FM Approved),Construction Services,item -
(AT) All Now Management (Daily) B2B on Apr'25 All Store 	,Transportation Mid Mile Agents,item -|period 1m
ตู้ G2CDBZ,Counters,
งานติดตั้งระบบนับจำนวน,Counters,
ชุดกระจายเสียงภายในโรงงาน,Noise Reduction Devices,
ค่าบริการสถานที่จัดงานนวัตกรรม,Trade Show Planning,
"FR_VD64 L-type body (V33104),FR_VD64 L-TYPE BODY (V33104)",Other Watch Accessories,
(PL) All Now Management (Daily) B2B on May'25 All Store 	,Transportation Mid Mile Agents,item -|period 1m
งานฉลากสินค้า ขนาดA4,Packaging Labels,application -|brand -|coating -|color -|content -|form -|item -|material -|model -|piece -|reflective -|size -|thickness -
Brake Shoe (HS80U) [M01-02215-A0],Truck Brake Shoes,
"FR_VW38 Lower Stem Body (V53312),FR_VW38 LOWER STEM BODY (V53312)",Suspension Strut Bearings,
ตู้ AS3ACLUC,Counters,
ตู้ G1CDBZ,Counters,
งานบริการแพลทฟอร์มระบบแจ้งเตือนฉุกเฉิน,Safety And Security System Installation Services,
(YS) 930047 LLKDC Transformation (Pack House)_Y25/26: Boot dryer for Pack House,Shoe Dryers,
โดรนเกษตร T25,Agricultural Sprayers,
HILIARD IDA-8B-RH-STD ROLLER RAMP CLUTCH,Clutch Master Cylinders,
ตะแกรง Locker (ทางลง) 1040x650 mm,Storage Lockers,
ตะแกรง Locker 104.5x65.0 cm.,Storage Lockers,
"SK_ PISTON 30305 [B60F31411ES3],SK_ PISTON 30305 [B60F31411ES3]",Piston & Parts,
ค่าบริการดูแลและจัดการด้าน Social Media,Internet Placement,
Kiosk: Upgrade Sim Dispenser for Write IMSI - Mainboard version Write ISMI for Sim Dispenser (1 Unit) - Port USB HUB 4port (1 Unit) - Electric Plug (1 Unit) - On-site Installation & Corrective Maintenance for Sim Dispenser-BMA (1 Job),Other Financial Equipment,
ตู้ G39,Counters,
"FR_VW64 Lower Stem Bolt (V61513),FR_VW64 LOWER STEM BOLT (V61513)",Rubber Mountings,
7Delivery Extra Resource iSearch Autocom,Contracts,item -
SV-2 Electric Rack Oven,Built-in Ovens,
ก่อสร้าง 08020 ซอยสุขสันต์ 2 (Re ย่(1),Shops,item -
M610 DP TRANSMITTER&MANIFOLD,Transmitters,
ตู้ 36B,Counters,
ตู้ 5EC,Counters,
งานจ้างเหมาปรับปรุงห้องสันทนาการ,Building Maintenance And Repair Services,item 
ตู้ 2PLCUC,Counters,
"SB_9-41143153072 0 BELLOWS,41143153072 0 BELLOWS",Guard Shield,
2APLCUC,Counters,
ซองจดหมายไม่มีหน้าต่าง ระบุที่อยู่ (500 ซอง/กล่อง)  (ขั้นต่ำ 5 Box:1 Lot),Other Packaging & Printing Products,
(WY) Shutter rental for BBTDC Apr'2025 (Piyasuwan),Cottage Rental Service,
Oscilloscope WAVESURFER 4024HDSGT,Oscilloscopes,
(WY) Shutter rental for BBTDC May'2025 (Piyasuwan),Cottage Rental Service,
(TK) Lotus's Apparel Model Business Development Project,Apparel Agents,
เครอื่งมือวัดแรงกดดิน ยี่ห้อ Daiki,Micrometers,
"Minijawlock 200 mm สีส้ม 1,000ชิ้น/กล่อง",Strapping,
"(YS) CS_Add Main Work NS MNS #3659 Nong Jom Intersection, Chiang Mai. (VOA001-005)",Construction Services,item -
"UM166560-3_BELLOWS,UM166560-3_BELLOWS",Sensor Kits And Cable Assemblies,
"MA BUILDING,งานปรับพื้นที่ (Interior) Working area CEO อาคาร ทรู ทาวเวอร์ 1
Quotation No. QS-68-06-0062-r1


",Building Maintenance And Repair Services,item -
ตู้ 36BS,Counters,
งานรื้อพร้อมติดตั้งผนัง,Construction Services,item -
"J, PADDLE, KICKER, SINGLE [25-3398]",Hitch Mounts,
ค่าน้ำมันงานจ้างบริการล้างโรงเรือน,Oil Spill Cleanup,
CANDY,Counters,
Rotate the feeder Pan to lock into Grill,Rotisserie Parts,
29PSUC,Counters,
หมวกญี่ปุ่นโทเรสีขาวคาดสีต่างๆ,Berets,
"พื้นที่ออฟฟิศโซนสีแดง(ลูกค้า)
Architect Work",Construction Projects,
(SSU) Trailer rental 3 Axles  Locking Pin of Aug'25 (KP) Wk35 For WNDC (CDC MK ) Ref.107/68,Truck Accessories,
หมวกมีปีกคลุมหน้ากันแดด,Promotional Hats & Caps,
Additional : Triangle Structure and Safety of 3 Screens at golden cross,Flag Pole Erection Service,
[สั่งทำ] Skewer machine 826x1825x1042mm,Meat Product Making Machines,
งานติดตั้ง SCADA Alarm Configuration,Electronic Controls Installation Service,item 
Mono Click Charge for A4,Copiers,
Sanitary Hardware,Other Shower Room Accessories,
Refrigerated Shaking Incubator,Laboratory Thermostatic Devices,
ตู้ 29PSCU,Counters,
(WY) Shutter rental for BBTDC Apr'2025 (Siriluck),Cottage Rental Service,
(WY) Shutter rental for BBTDC May'2025 (Siriluck),Cottage Rental Service,
MKB-Change and install Signage at Dry operation area,Sign Installation And Maintenance Service,item -
1000024792;6800;SEAL PROCESS : LETTER AND OTHER DOCUMENT;;ค่าพับและผนึกกาวจดหมายและเอกสารอื่น ๆ,Carbon Paper,
"1 ภาษีป้ายปี 2568 HALL & COCO (BMA,East,West,CW)
No.Q2025050003",Sign Installation And Maintenance Service,item -
(TW)[FMRE12C] Consultant fee VRF of Energy Phase 2 Project Y2025 : S#15003 Supermarket_ET&OT (Pooled),Other Consulting,item -
Halogen Moisture Analyzer HC103 (230V ),Carbon Analyzers,
[TK] รางรองรับเลือด PLK,Centrifuge Tubes,
ตู้ G41TZ + ก๊อกน้ำ,Counters,
ตู้ 2ELD,Counters,
Kiosk: Upgrade Sim Dispenser for Write IMSI - Mainboard version Write ISMI for Sim Dispenser (1 Unit) - Port USB HUB 4port (1 Unit) - Electric Plug (1 Unit) - On-site Installation & Corrective Maintenance for Sim Dispenser-UPC (1 Job),Other Financial Equipment,
TRANSPORTATION & INSTALLATION COST,Equipment Usage Fee,
1000024792;1900;SEAL PROCESS : LETTER AND OTHER DOCUMENT;;ค่าพับและผนึกกาวจดหมายและเอกสารอื่น ๆ,Carbon Paper,
"EDS""76 antigen, HI, Royal GD, 1 mL",Other Lab Supplies,"brand -|item eds76antigen,hi,royalgd|model -|piece -|size -|volume 1ml"
"6-520576 89_Frict block,6-520576 89_FRICT BLOCK",Pads & Mats,
"Disodium phosphate,DISODIUM PHOSPHATE",Phosphate,
2AHUC,Counters,
1000064379;6800;ค่าซองหน้าต่าง DL;;,Printing Mesh,
1000070238;6800;Digital Poster Player Z83-4/1Y Onsite;;,Hdd Players,
"จ่ายเงินประกันการเช่า ชำระในวันลงนามสัญญาเช่าSite : ST0652-MSA Thanon Thep Anusorn, Phuket (ถนน เทพอนุสรณ์, ภูเก็ต) : สั่งจ่าย นาย กรีฑา โชติวิชญ์พิพัฒน์",Land Leases,item -|location -|period 1m
Actulator GP-Electronic G3412 (187 kw),Other Watch Accessories,
96-Well Clear  Plate Tissue Culture,Petri Dishes,
Customer Community Plus ( Data Storage 10GB),Other Drive & Storage Devices,
งานติดตั้งแนวกันไฟบ่อไบโอแก๊ส,Building Fireproofing Service,
"PHONE BOOTH,4PMEETBOX Size2170x2000x2400",Exhibiting Services,item 
ตู้ 1HLUC,Counters,
(TS)(บริษัท อีวาย)(พี่หน่อย)Review of the annual corporate income tax computation and the annual corporate income tax return (I.T.50)for the period as from 1 October 2024 to 31 December 2024Z100%payment)No.TH02T225002676,Other Consulting,item -
681571 *N-Standee แบบที่ 7 PD9805472,Banner Stands,brand -|item -|model -|size -
(PY) ค่าซื้อโฆษณา Engagement Always on_Omni บน Facebook_Aug`25_BB2025082565,Internet Advertising,brand -|item -|type -
UNLOAD BIG BAG Support big bag 1 ton,Fibc Bags,
CASSETTE 5 uL LB MOLDED TIP,Other Lab Supplies,"brand -|item cassette5ul,lbmoldedtip|model -|piece -|size -|volume 5ul"
งานเพิ่ม 100% Standard Permanent Signage (Mall & Eatery) ST170,Sign Installation And Maintenance Service,item -
"(YS) CS_Add.Main Work_VOA-01_MNS Aowkhanom2, Nakhon Sithammarat (NE)",Construction Services,item -
4004740 เมาส์ไร้สาย ดำ Logitech M331,Mouse,
Electrical systems installation work for Tower sign,Tower Bell Installation And Repair Service,
ตู้ 2PLCBU,Counters,
เครื่องบดเมล็ดกาแฟ CASADIO Enea OnDemand,Coffee Grinders,
(YS)   CS_Main Building_Lotus's Yala_HP   >  Additional  Main Construction (ref.VO#AR054_งานเปลี่ยนแปลง Flashing ครอบขอบหลังคาเป็นสี Carbonic Grey),Construction Services,item -
PM Spare parts for QUILL PULLER (70 [L1],Gear Pullers,
MK25-18 : Cost of digital Ad. on Youtube Trueview Biddable Media-Search on Jan 2025 (Makro_Chinese new year),Internet Advertising,brand -|item -|type -
Libex Automated Extraction Machine,Extractor,
PM Spare parts for QUILL PULLER (70 [L2],Gear Pullers,
9074621_CONVERSION KIT AC12A10 S03/S05/8,Other Watch Accessories,
CONVERSION KIT AC12A10 S03/S05 [9074621],Other Watch Accessories,
"Blanket Mr.Bear Meiji Paigen TT,ผ้าห่ม MR.BEAR เมจิไพเกน TT",Throws,brand -|color -|item -|material -|model -|size -
Prototype Cutting machine,Plastic Cutting Machines,
Telescopic forks ARES 40,Garden Forks,
ถุงมือผ้าสีขาว ขอบเหลือง,Cotton Gloves & Mittens,
เพิ่มหลัง ตรม CON_23277,Construction Services,item -
Spare Part,Other Machine Tools Accessories,brand -|item -|model -
JWD2006 JW Duct Base A 2.5m,Other Hardware,
St.121 Construction work for RC Road,Construction Services,item -
POP681441HS Shelf Themeวันแม่ 9804526,Shelf Talker,brand -|item -|model -|size -
รถสามล้อบรรทุกไฟฟ้า SUMOTA รุ่นV-THUNDER,Electric Pedicab,
"3000121099;3903;DesktopPOS Swan2 15.6""+10.1"" 4/64GB 80mm;;DesktopPOS Swan2 15.6""+10.1"" 4/64GB 80mm",All-in-one Computers,
"KVM Extender ""ATEN CE820 USB HDMI""",Kvm Switches,
ชุดทดสอบโพล่าในน้ำมันทอดซ้ำ (1 กล่อง/25 ชุด),House-service Detector Tester,
งานเปลี่ยนสารกรอง,Other Service Equipment,
งานจ้างเหมาปิดโพลงผนังพร้อมปรับปรุงพื้น,Siding Installation And Repair Service,item -
DTAC business MA for January - March 2025,Information Technology Maintenance Or Repair Service,item 
ตู้ 2QSR,Counters,
ดิจิตอลแคล็มพ์มิเตอร์KYORITSU KEWSNAP200,Clamp Meters,
เสาแขวนถุงพลาสติกม้วนสูง 125 ซม. size Dia.330x1250 mm,Other Kitchen Furniture,
ตู้ 2APLCUC,Counters,
งานโครงสร้างชุดดูดกระสอบ ตึก1,Machinery Service,item -
ตู้ 29PCU,Counters,
ค่าดำเนินการซ่อมโอโซน,Distribution And Conditioning System Equipment Maintenance And Repair Services,
1000044872;4500;ค่าบริการขนส่ง โดย EMS;;รวมซองและฉลาก ค่าบริการสินค้าใส่ซองและติดฉลาก และกรณีเอกสารไม่ถึงผู้รับ ระบุตีกลับที่ บริษัท บิ๊กไซท์ แอด จำกัด เพื่อรวบรวมและจัดทำร  ายงาน,Vehicle Transport Services,
"6-546424 80_Worm wheel shaft,6-546424 80_WORM WHEEL SHAFT",Worms,
"PS_GEA TSSB75 1"" Pin Fix 04660-2347-412,PS_GEA TSSB75 1"" PIN FIX 04660-2347-412",Other Hardware,
งานทำคืนเจ้าของ_17924,Construction Services,item -
"1000037422;6800;SERVICE,COPY,MACHINE,RICOH,;;Black & White Copy,สำเนา :ขาว-ดำ",Copiers,
เครื่องทำไอศครีม OTTO#BE-345,Other Kitchen Appliances,
"SB_10_GEMU DN50 DIAPHRAGM,GEMU DN50 DIAPHRAGM",Check Valves,
(TP) FM Consultant Fee Y2025 : Copy center HO,Other Consulting,item -
ตู้ 2ELSD,Counters,
"KERRY - Delivery charge of  Mar 2025 (ADEN T PARK)
Delivery invoice no : IND20250400696 amount  252,498.00THB
Credit note (Rebate) : amount 0 THB
Credit note (Claim) Total amount 0 THB",Road Freight,item -
AP - Transmitter Model HS_C09959,Transmitters,
(TK) Phoenix CJ Fighting,Firefighting Equipment & Accessories,
